,met_id,cluster,distance,polarity,target_group,target_ppto,target_word,source_image_schema_group,source_word,llm_expl,sentence
5709,0e5efcaa-8b85-11ed-95fd-3fc9ab0ea880_532_5_3,0,0.26483034480083756,right,Conspiracies,thing,what,spatial motion,going,"The verb 'going' is used metaphorically in the phrase 'going on,' which represents events happening or occurring. This usage transcends the literal meaning of 'going' (physical movement) to convey a conceptual state of activity or situation, personifying the abstract idea of events unfolding.",'He knows exactly what's going on inside of the FBI.'
2086,95b4c966-203b-4217-bc66-d83052b0cd99_297_4_2,0,0.31202086392583384,left,Public Demonstrations,thing,what,spatial motion,going,"The verb 'going' is used metaphorically to describe the occurrence or existence of events ('what'). Literally, 'going' refers to physical movement, but here it transcends that meaning to signify that something is happening or present, without referencing a physical action.",'Check out what's going on locally in your town.'
308,d8eeeaa4-3866-4b04-a911-bdf79b88f199_96_7_5,0,0.3128998987076438,right,Citizens',person,we,spatial motion,going,"The verb 'going' is used metaphorically here to represent the intention or plan to take action ('find out') rather than describing a physical movement. In the 'going to' construction, 'going' signifies futurity and purpose, transcending its literal meaning of physical movement.","'Very unusual situation, but we're going to find out.'"
1345,3bdc5bfd-9705-46fd-99d7-b2360117c606_533_3_0,0,0.3490736249190194,right,Citizens,person,We,spatial motion,going,"The verb 'going' is used metaphorically to describe the action of 'We' pursuing or attempting something ('all of that'). The source verb 'going' transcends its literal meaning of physical movement to signify an intentional effort or endeavor, which is a metaphorical extension of its original meaning.",'We're not going for all of that.'
366,d71c6e12-1d4a-11f0-953a-477923aed071_53_9_6,0,0.3670982817196217,left,Politics,thing,what,spatial motion,going,"The verb 'going' is used metaphorically to signify the ongoing state or progression of events, rather than describing a physical action. The phrase 'going on' functions as an idiom representing the state of affairs or what is happening, transcending its literal meaning of movement.",'You don't have to know what's even going on.'
3370,8ab20af6-746b-42e5-b500-b22f002135ae_178_6_4,0,0.39125741841764206,right,Public Demonstrations',thing,what,spatial motion,going,"The verb 'going' is used metaphorically to describe the state of affairs or events happening, rather than a physical action. The phrase 'what's going on' is a fixed expression where 'going' signifies ongoing events or situations, transcending its literal meaning of movement.",'Let's talk about what's going on on college campuses around the country.'
1346,3bdc5bfd-9705-46fd-99d7-b2360117c606_531_6_3,0,0.42129994024491174,right,Citizens,person,we,spatial motion,going,"The verb 'going' is used metaphorically to convey the concept of 'accepting' or 'supporting' an idea, rather than describing a physical movement. The phrase 'going for that' represents a figurative act of endorsement, not a literal action of moving.","'They said, we're not going for that.'"
4309,3bdc5bfd-9705-46fd-99d7-b2360117c606_448_3_0,0,0.4540443807337046,right,Voters,person,We,spatial motion,going,"The verb 'going' is part of the phrasal verb 'go for,' which metaphorically conveys taking action or pursuing something. Here, 'going for it' does not describe a physical movement but rather an intention or effort, transcending the literal meaning of 'go' as physical motion.",'We're not going for it.'
5108,b596eadb-5fb6-493c-bad0-aee500175236_380_6_4,0,0.5059458995476523,right,Democrats,person,you,spatial motion,going,"The verb 'going' is used metaphorically here to indicate a future consequence or outcome rather than a literal physical action. The phrase 'going to get' signifies a prediction or impending result, personifying 'you' as the subject receiving something (the 'Democrats' punishment), which transcends the verb's literal meaning of movement.",'Because that's what you're going to get for the Democrats.'
4225,f74de610-99d5-11ee-996f-3fece011ee96_645_6_5,0,0.526992270484269,right,Other.,thing,adrenaline,spatial motion,going,"The verb 'going' is used metaphorically to describe the activation or stimulation of adrenaline, which is a substance, not an entity capable of physical movement. 'Going' here personifies adrenaline by attributing an action (movement) to it, implying its heightened activity rather than a literal physical process.",'that I could get my adrenaline going again.'
736,64f45e18-5b2f-4574-b34c-84410e316110_323_2_0,0,0.5507559656660884,left,Voter Suppression Advocates',person,They,spatial motion,going,"The verb 'going' is used metaphorically to indicate an intended future action rather than a physical movement. In the phrase 'going to shut', 'going' transcends its literal meaning of physical movement to signify the intention or plan to perform the action of 'shutting down', which is a metaphorical extension of the verb's original meaning.",'They are going to shut women down as hard and as much as they can.'
6445,64f45e18-5b2f-4574-b34c-84410e316110_160_9_6,0,0.5648070310312182,left,U.S. Presidents.,person,Trump,spatial motion,going,"The verb 'going' is used metaphorically to convey the concept of Trump facing an inevitable, deserved consequence ('comeuppance'), rather than describing a physical action. The phrase 'going to get' signifies a future outcome based on conceptual equivalence, not literal movement.",'And obviously it seems like Donald Trump finally is going to get his comeuppance.'
1716,287822c0-4282-11ed-8363-cb83fa110de1_361_15_14,0,0.5856405108181433,left,Citizens,person,we,spatial motion,go,"The verb 'go' is used metaphorically here to describe the process of undergoing an activity ('exercise of watching') rather than a physical movement. The phrasal verb 'go through' signifies experiencing or completing a process, which transcends the literal meaning of physical movement.","'And again, I stand by and think it is actually very important that we go through the exercise of watching that.'"
3056,d8eeeaa4-3866-4b04-a911-bdf79b88f199_33_4_3,0,0.5971991147368806,right,Resistance Movements.,thing,Buttons,spatial motion,going,"The verb 'going' is used metaphorically to describe Christina Buttons' active engagement or investigation into the ICE Watch Group, transcending its literal meaning of physical movement. It signifies her involvement in accessing or participating in the group's activities, rather than a literal act of moving physically.","'Investigative journalist Christina Buttons going inside ICE Watch Group, quote, defend the 612, named for the Minneapolis area code, which she describes as, quote, the beating heart of the city's resistance to federal immigration enforcement.'"
7303,876e1918-4bbd-11ec-9286-330a99840065_12_20_19,0,0.7022817031463431,left,Media and Political Commentators,person,who,spatial motion,go,"The verb 'go' is used metaphorically to describe the depth of engagement with the news, not a physical action. 'Go deeper' signifies a conceptual extension of exploring or investigating further, rather than literal movement.","'And it's Lovett, and Favreau, and me, and Pfeiffer, and then other Crooked hosts who go deeper on the news and cover more stories.'"
